cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgyrFuNlQxx6pkIeRiB4AaABAg,ODESZEVERANCE,11 days ago,@odesza,UCW935N0msb0eDy4zQmxTwQg,2.2K,19,https://yt3.ggpht.com/jpD3LNfdng6a67T5df5SxUSfrzMH0kfm-mtsYh7YX1HtC2kchpoET4VrFK52e8bEc6IjqcwnXQ=s88-c-k-c0x00ffffff-no-rj,True,False,1740770343.696935
UgxQw6bKHR5Z9sOJ0W54AaABAg,gracias APPLESFERA.,1 minute ago,@jahamundore,UCNzKZ8o9y3nN4BsdEaRoN1w,0,,https://yt3.ggpht.com/at5Z2-G1t_swN9ce7FY4U6PFgH1gei29PwH15VfhY2XUPGWkrXdYeaXhYRqkkqwGkscf4E-C5w=s88-c-k-c0x00ffffff-no-rj,False,False,1741717083.70108
UgweDIeYCgoGSnqk_S94AaABAg,"""Please try to enjoy each beat equally""",18 minutes ago,@JasonCrazyjAnderson,UCwWENohIayjwBuA53RcLylA,0,,https://yt3.ggpht.com/GzB6mZEkQTqLfSRs_LiKa-3eZxW97hHNEAtI-a26BXTf2ggZPoYMV3yhU-7Pkt9DRAb5HuCyQ2A=s88-c-k-c0x00ffffff-no-rj,False,False,1741716063.702608
UgyVqa3HDajN9OJ8TVZ4AaABAg,Please try to enjoy each beat equally.,3 hours ago,@ComicbookSam,UCeiYPcQpV-EAtR16ItDTs8A,0,,https://yt3.ggpht.com/XjUenwRyFZTp9FBUqiT_VC9-nJL8Kn0UXqj2roj_GdnaqDsLkl-oy_0M4x-R65hz6wxekRAw=s88-c-k-c0x00ffffff-no-rj,False,False,1741706343.703417
UgyN9_GCBvklRSWBsCN4AaABAg,Feeling like a innie working to the sound of this beats 🔥🔥 (help),3 hours ago,@natha_monteiro,UCAhHXo7Wghvipx7Zdhw2Tvg,0,,https://yt3.ggpht.com/ytc/AIdro_mwi0tJfO-McoDkVSaX6C0bdjJszAyvy3Xs-Go2XHawiQ=s88-c-k-c0x00ffffff-no-rj,False,False,1741706343.704096
Ugw-b3pVJ01Hr1rPfpd4AaABAg,"Severance starts now…mark is hot, hellys hot, Irving’s hot, Dylan’s hot, milkshakes hot",3 hours ago,@4ng3lf4c3,UCwaegkHteuPkC7Bvy1q6wQA,0,,https://yt3.ggpht.com/68m5kabYVdMcZPxj1n8q8XwDBXFUoIfWCCCITGrdzmSKyPbXuRTxNb-TZjJRpjTs0rlQZdxCBe4=s88-c-k-c0x00ffffff-no-rj,False,False,1741706343.704733
Ugw3JdX93ioMxy9JlxV4AaABAg,NO WONDER it perfectly fits 9 to 5,4 hours ago,@yo-bc6hp,UCTFXgoXmoGawAKegF5iG9kw,0,,https://yt3.ggpht.com/ytc/AIdro_nLQHWkVwjdu8vdK1h88OIAxqZ0A3v99tjpaseR9UwvftqGhWG0mypoxX4FO6txLshp4Qw=s88-c-k-c0x00ffffff-no-rj,False,False,1741702743.705379
UgxktEMy52D4asiAcWp4AaABAg,it low key sounds like Youtube Premiere music :D,4 hours ago,@Luky604,UCDiirMgW9iiqnwB7OhUYqTQ,0,,https://yt3.ggpht.com/ytc/AIdro_neI9VcXhJVd92lWk1A2nylMH46h33J6XIcauxQ3c-NcGQ=s88-c-k-c0x00ffffff-no-rj,False,False,1741702743.706031
Ugzq13czKBRIobrwnsl4AaABAg,"Played the whole video and didn't once hear ""Mark is hot, Helly's hot, Irv is hot, Dylan's hot, Gemma's hot, Milkshake's hot""",4 hours ago,@TheAndrewColletteShow,UCRgzckrm1Svf-Y_dIWsTPTg,0,,https://yt3.ggpht.com/_bjIumvgVP61uD6gJYxXO7DjXgMJyqr1OVfhcwlLfXHWrcMHIluN1H8WPZDTNNSF3NdSP4yMU_A=s88-c-k-c0x00ffffff-no-rj,False,False,1741702743.706663
UgzkdHY6-hbmGBHqnFp4AaABAg,This will be perfect for my upcoming ORTBO,6 hours ago,@rorychivers8769,UCMh0_iV_DW953NP8TooISLA,0,,https://yt3.ggpht.com/ytc/AIdro_k9SoZLV5QMsPD7OqDYNn9EeNWfFssMFmHtdIfA4N4=s88-c-k-c0x00ffffff-no-rj,False,False,1741695543.707281
UgyJZf0uwbiM7X6QouB4AaABAg,"omg, two best things just mushed together! i could never imagine. thank you for this.",7 hours ago,@kristynarinconova3176,UCvLbSPKwkja-TKnDKpnj4pw,0,,https://yt3.ggpht.com/ytc/AIdro_ktt1df3ocJ3EIZLFdfnWVZ0luL_sIQeIy-TswIX5vwE4SF=s88-c-k-c0x00ffffff-no-rj,False,False,1741691943.707906
Ugx5RN07cKcl3NLGsHF4AaABAg,I've listened to this a concerning amount over the last 2 weeks.,7 hours ago,@lostandscattered,UCL55uYC2VaNJ92nfixBtkDQ,2,,https://yt3.ggpht.com/ytc/AIdro_nw7FA4muYza3c8jtfbpHnRViKFEpxdr3IzRozZ1jStdA=s88-c-k-c0x00ffffff-no-rj,False,False,1741691943.708524
UgzWG_xmM1bKuOKeYNt4AaABAg,"Shoutout for Bellingham, Washington  references!",13 hours ago,@nbburn,UCm3W7Y39EXND2SEkTWnsprw,0,,https://yt3.ggpht.com/ytc/AIdro_lFd-wr_nOhBjiABvuVtnViQULps-4cUmMAQ1fjByU=s88-c-k-c0x00ffffff-no-rj,False,False,1741670343.70962
UgzIyiweUgGFo8Odez54AaABAg,This is incredibly enjoyable! I’ll definitely listen to this while doing some chores. 😂,14 hours ago,@JAMES-f3o7i,UCV5NmHzyU4Ho8EldtU9tbiQ,0,,https://yt3.ggpht.com/oPOCby8Puq5KE4J6PjgcewMopAM5oANc1A0_hXCTm1cB90ui2ngyvUOGAGfBpZQcWC3oLKtk4Q=s88-c-k-c0x00ffffff-no-rj,False,False,1741666743.710596
UgzzHMbB7MWGifqmAdB4AaABAg,ODESZA really knows how to work 8 hours without interruption,17 hours ago,@sarthakkhanna9903,UC56mf8tb9pn8YxgQaEgrizw,0,,https://yt3.ggpht.com/ytc/AIdro_lSk70KrfLi1RAfKgVuNpHvPhneUUTMCRaNx7ovhJoLukil=s88-c-k-c0x00ffffff-no-rj,False,False,1741655943.711502
UgwrBWNx0OFksc_MgUx4AaABAg,We want this in Apple Music!,18 hours ago,@robillanes,UCoHWvgV538-a1a6rKaDNLLA,0,,https://yt3.ggpht.com/eIo7stwvD7cBwngOBZH3pM-zQ_Pho65C2OdofpvJqjh1quPhxIIzXIpbkgxCfJtywemX116e=s88-c-k-c0x00ffffff-no-rj,False,False,1741652343.712474
UgyuzO84mS9uzyqdZzJ4AaABAg,Playing this for the office today 🥰,20 hours ago,@ClassicMiddleton,UC4BztqVlAwUXztLan5Ka5cg,0,,https://yt3.ggpht.com/nNTGBOMvczsYLerjYue-o5ipgCpXi-GJkUSf0k-3WN2dDU3p_aV8Cx8fzmcIG27h2zxvI0eILQ=s88-c-k-c0x00ffffff-no-rj,False,False,1741645143.713449
Ugyl1N_CE2NaxTJfy5N4AaABAg,its garbo that they only released this on Apple music....,22 hours ago,@alexsoto5800,UCYYGti8ogoZx2PfMo86S6FA,0,4,https://yt3.ggpht.com/ytc/AIdro_l87YLdjdUFcGJAb4QD5DHJT_zJgnp0vmymDq6199I=s88-c-k-c0x00ffffff-no-rj,False,False,1741637943.714335
UgxlpVXUEuSpJJKGenh4AaABAg,Been absolutely jamming this but would love it if it were also on Apple Music...,1 day ago,@XfarglesX,UC4wMN2vxwB3SdD9vO81cM4w,0,,https://yt3.ggpht.com/ytc/AIdro_nYsMAFmLbMTDmKJrhF9w7phHlcS-0LqDXIdBd1kDiRQGQ=s88-c-k-c0x00ffffff-no-rj,False,False,1741630743.715372
UgxdjteCJXTzpSV0cbJ4AaABAg,"Nice, much nicer than that last episode lol",1 day ago,@whydidyoutubeaddthis,UCUuKMpbe_jgIyFHxyjr3wgw,0,,https://yt3.ggpht.com/ytc/AIdro_myjubLyGgrjpRjcnMaVbQEPp8kgHpWU7sL0HIT5h0=s88-c-k-c0x00ffffff-no-rj,False,False,1741630743.717382
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAF5ZeffHZTp,awesome job guys!,11 days ago,@dv1q,UCnRaasUZUhAPRLGUBJd2JCQ,5,,https://yt3.ggpht.com/twOoWcrROMu7nNigflpvcWCgn_nY5C1GP4wgchcWaPF3j0S-UhrnVoYKVjJmMLZmy-z8AFl9rg=s88-c-k-c0x00ffffff-no-rj,False,True,1740770343.913636
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAF5aYKEPahu,My innie approves this message.,10 days ago,@corywatts,UCMZpK1AGmebC6YoiJs3ZWPw,9,,https://yt3.ggpht.com/ytc/AIdro_n71jdZkoYkq7-7sqVY6KqTYbz7rE9W9AMIf68mH2dUY8w=s88-c-k-c0x00ffffff-no-rj,False,True,1740856743.915413
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAF61lvgO5_H,Nice,10 days ago,@RvnDaBird,UCWeN6rJPLDm-QWCAkOl7PkQ,0,,https://yt3.ggpht.com/rHzVmSABcC5HGOZELkhzEwwEQJXHyUISMgxbxCHY8EAgrc5AagntFF9o75EJmtARot4MGoo36g=s88-c-k-c0x00ffffff-no-rj,False,True,1740856743.918391
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAF63e2CwsBW,can't wait to still be listening to this in 2025,10 days ago,@teddyfrozevelt,UCq1p5Kkqh-3qAM5OYVWkBNQ,2,,https://yt3.ggpht.com/DGzu1GWRJQIgkwTTw5DTMjTu9o7nItSE0uX5BYRtApHVOFn0pnxO07fAFA2c8Q0deYVilft_6A=s88-c-k-c0x00ffffff-no-rj,False,True,1740856743.920774
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAF6MpMN1WAg,Coolness,10 days ago,@BoraniumArt,UC_mQ-WjsFw4yDLmiNrcnUYA,0,,https://yt3.ggpht.com/qbAeagle3UcU1QenGdDieabdichKB35e3SlM3m-RMqUDSMVO7FdREPuCMvhQtLB9k6RbayIZkQ=s88-c-k-c0x00ffffff-no-rj,False,True,1740856743.923569
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAF6N3Bh3YYI,"Render my art not in miniature, but in beats.",10 days ago,@spicycinammon-eggnog,UCG5UasR-0bqFoInUA1F0dXw,6,,https://yt3.ggpht.com/rgVKBBQwtCYeHfnDnW-5SgozEaJf_A28OEqfjKU4uNA8nuOm-uzd6Z8gTALqaUYW1e3c8Ipt2w=s88-c-k-c0x00ffffff-no-rj,False,True,1740856743.925454
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAF7SzIsT2j0,This is amazing stuff,10 days ago,@prabathudakandage7697,UCFs5jHaDX7iQgj0jGeIZWcw,0,,https://yt3.ggpht.com/ytc/AIdro_l7601VBRlRpFqxFsYJKE9zXlqEoP6ZB7uEMwsn8sI6DYo=s88-c-k-c0x00ffffff-no-rj,False,True,1740856743.927156
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAF7sCwlvejm,The Board thanks you for the work you have done,10 days ago,@Nurmaganov.I,UCFo6YpZ_e3_9HQBgN8oNkPQ,3,,https://yt3.ggpht.com/QeDsS81BwAhLDabU2UVn9OU3z-W7nk5xjsDMBAoVNWGPy2vmwp2t-cW4AmcgCcSZNqAUcUswZUQ=s88-c-k-c0x00ffffff-no-rj,False,True,1740856743.928416
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAF8DL8rglQr,beats to reintegrate to,9 days ago,@levi4328,UCsG06JIfTh_LX5cdGMNNT5Q,4,,https://yt3.ggpht.com/ytc/AIdro_mLMa-lxcFhVnw7hjoS9AFBOnmurjETgZFyCCHtXF3aud0=s88-c-k-c0x00ffffff-no-rj,False,True,1740943143.929533
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAF8E8Uew9Gs,"Thank you for the multiple eargasms. And whoever did the video editing for the Music Dance Experience, respect.",9 days ago,@BogdanHonciuc,UCVbaS8NuJOL2xLuki7Dn69Q,2,,https://yt3.ggpht.com/_IGfjL86p8Yf6PRqzsRp8U5oyseTv2QNju2EYyE7KRTGtcC96-J7lDwHGWMMdcXgI6-OtiBPfw=s88-c-k-c0x00ffffff-no-rj,False,True,1740943143.930579
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAFBiJuZ_398,You guys are the best! Both my innie and outie thanks you ❤,8 days ago (edited),@sophieo5324,UCqW2cEvtmJSe4kjS0VME9dA,1,,https://yt3.ggpht.com/ytc/AIdro_lUKnDa48KxCNfw8nzFV26rUWyoRdtrpJJ-GqwQUkBrkA=s88-c-k-c0x00ffffff-no-rj,False,True,1741029544.128944
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAFD2zaqNjQP,"Love that this is a homonym for ""ode to severance'",8 days ago,@Emmaaf,UCRrCO0MkBZflK-MuXdCYdvg,0,,https://yt3.ggpht.com/ytc/AIdro_kFKyUfpTt-g7ZZ-6LZ1sANP6791YgWTIsbAPxggknb2p4vMYee8SivclGdDEQnvFVPyg=s88-c-k-c0x00ffffff-no-rj,False,True,1741029544.132268
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAFI7UDh_NJY,You did what I was going to do with the Kier theme song from the ORTBO and turn it into a full length tune.. dang I love it,6 days ago,@musiclabmn,UCnuXBpgieon90thuhdjQwEg,1,,https://yt3.ggpht.com/ytc/AIdro_myf0oj8GLiEHbZS7gXjGJVk7sRDnZo_yfceRAxhYjkLg=s88-c-k-c0x00ffffff-no-rj,False,True,1741202344.136242
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAFO-dGdG4-3,This is soooooo good! My brain is freaking out at how cool and epic this is. Thank you!!! 🙏❤,3 days ago,@graceintheplace13,UCuW0viIXwI-dsaFLNyEGHew,1,,https://yt3.ggpht.com/HckKXHJSnmX3JJkP8iyjzGgFXHYu0hiUxD1gSFzwd_MqTnJwP8TSQB25f4ybxpUQXIUfK9yQbA=s88-c-k-c0x00ffffff-no-rj,False,True,1741461544.138041
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAFSpuLsOECx,current favorite show 🤝 all-time favorite artist,1 day ago,@xECxMONEYx,UCSMCAk8b7uZGatR6B9oykLg,0,,https://yt3.ggpht.com/ytc/AIdro_mfvruFGsr1shsEuNrW-BEcJA1Y4CHfQCuYVwxg-KRT_Q8=s88-c-k-c0x00ffffff-no-rj,False,True,1741630744.142325
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAFVBqOzy2Hd,I dont think there is an artist contributing more to society atm =p <3,1 day ago,@megan8494,UC5vyq1ou6TN4Rgo78kRbM1Q,0,,https://yt3.ggpht.com/_tpZxmm2a2Dr1tLjFBDB7Z75UjBt3UqxPdSgebTuQirUdNTBlx_TGpw6fqLhojVN_r4FwiRHZQ=s88-c-k-c0x00ffffff-no-rj,False,True,1741630744.143726
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAFVH86bytxH,When will you upload the set to Apple Music?,1 day ago,@czakonasell,UCXjAqlqA09FL2BeZyaysXXw,0,,https://yt3.ggpht.com/ytc/AIdro_k7wG9HRwENVsP6A8uQYy92a48-J4twlTijERoLNc_1PA=s88-c-k-c0x00ffffff-no-rj,False,True,1741630744.144797
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAFVhzVp-dGU,I've always said you guys should work with a TV show or movie production. This is so cool!! Thank you for creating something to get me through the long law school study days.,20 hours ago,@megxlynn,UCZzoa6WjLhgyxnLakdLBhPg,0,,https://yt3.ggpht.com/wzz_RfrFCuVyHkiwLzax8TYFDUlmCSS_tGkNWgHNc3jASzFEkmmo7zjXwwy5Jyf16nVqmAa3QUQ=s88-c-k-c0x00ffffff-no-rj,False,True,1741645144.145797
UgyrFuNlQxx6pkIeRiB4AaABAg.AF5Z-0YXHgyAFXiylGvqCy,is there a more detailed tracklist somewhere? this is amazing btw.,1 hour ago,@stephenhumphries9419,UCE4tUUMt3p3QouU4PscEJ9Q,0,,https://yt3.ggpht.com/ytc/AIdro_mauZYWzyCI_EX_R1lmv5SE7K0Weldx7Ih6j615Dtq8B_1V=s88-c-k-c0x00ffffff-no-rj,False,True,1741713544.146778
Ugyl1N_CE2NaxTJfy5N4AaABAg.AFVUzKOlxmcAFVnrqHZZb7,But it's not on Apple Music?,19 hours ago,@AZmotion,UC2EvFzWlW1kzE8UkiavHGKw,0,,https://yt3.ggpht.com/ytc/AIdro_mMoYh9VoDCcLYKj3Tvn881FR9sLdHHv3cylSzHmM8cepo=s88-c-k-c0x00ffffff-no-rj,False,True,1741648744.334439
Ugyl1N_CE2NaxTJfy5N4AaABAg.AFVUzKOlxmcAFVqCCD8egT, @AZmotion  the link is on top of the timestamps. I can't see it tho bc i dont use Apple Music,19 hours ago,@alexsoto5800,UCYYGti8ogoZx2PfMo86S6FA,0,,https://yt3.ggpht.com/ytc/AIdro_l87YLdjdUFcGJAb4QD5DHJT_zJgnp0vmymDq6199I=s88-c-k-c0x00ffffff-no-rj,False,True,1741648744.336507
Ugyl1N_CE2NaxTJfy5N4AaABAg.AFVUzKOlxmcAFWDifUP6ow," @alexsoto5800  That's for Theodore Shapiro's original score, not ODESZA's mix.",15 hours ago,@AZmotion,UC2EvFzWlW1kzE8UkiavHGKw,0,,https://yt3.ggpht.com/ytc/AIdro_mMoYh9VoDCcLYKj3Tvn881FR9sLdHHv3cylSzHmM8cepo=s88-c-k-c0x00ffffff-no-rj,False,True,1741663144.339418
Ugyl1N_CE2NaxTJfy5N4AaABAg.AFVUzKOlxmcAFXU0xzqYkl," @AZmotion  ah good to know - that's def misleading.  Literally states, ""Explore ODESZA’s severed sounds and beyond""",4 hours ago,@alexsoto5800,UCYYGti8ogoZx2PfMo86S6FA,0,,https://yt3.ggpht.com/ytc/AIdro_l87YLdjdUFcGJAb4QD5DHJT_zJgnp0vmymDq6199I=s88-c-k-c0x00ffffff-no-rj,False,True,1741702744.345291
UgxHhdq2dJ1kjytMqPd4AaABAg,Lofi beats to study/psychologically manipulate to,1 day ago,@panampace,UCSqMlAdbblRqBWqiezQZYjA,2,,https://yt3.ggpht.com/NHdxYVWvczS2vOu43IVWOUiSE1omF8LV_T7vx6uD-iFUIgL0zjyaaTnOdsjkiYFkpFDGVW6L0Q=s88-c-k-c0x00ffffff-no-rj,False,False,1741630744.632703
UgzHsEqRkH5agtCPZXt4AaABAg,3:39:45 DANCE PARTY!,1 day ago,@rubydad8127,UCP8C6QjIaBMliTcaTDS3Kgw,1,,https://yt3.ggpht.com/ytc/AIdro_lMYxLf8P2NikEI8rqiRxXEJ97k8ILSQLxpxHdDjRo=s88-c-k-c0x00ffffff-no-rj,False,False,1741630744.63439
UgzlcbB1YtRLZJuyZUh4AaABAg,Now why is this not a playlist on Apple Music?,1 day ago,@ArmoredCow,UCu9JVOfpS1Xn3oJJLr5ovJg,1,,https://yt3.ggpht.com/ytc/AIdro_ml_QQAbrSabx8dRjryns_KlE2vkR7hA4Ge2cWb0dY=s88-c-k-c0x00ffffff-no-rj,False,False,1741630744.63589
UgwhwjDC_IybD3fg9714AaABAg,Just finished refining (ie. major excel data analysis) to these tunes. Thank you,1 day ago,@annaw7437,UCUImUjtQOnqTsXE5M6hCpUA,0,,https://yt3.ggpht.com/ytc/AIdro_nDV9VRlFuDpF1zWfNB5RlYHXVawGigdgMxsyNZEyyb6E8=s88-c-k-c0x00ffffff-no-rj,False,False,1741630744.637112
