cid,text,time,author,channel,votes,time_parsed
UgzG6jX8QXSpSsM8OSB4AaABAg,Hii poki im a fan and im also morracen and my sisters name is also imane,3 minutes ago,@BibuTigra,UCx0WpbqBEvBao-r8IEDXoBA,1,1741795481.923583
Ugwe6O72CPmJwPYnRQB4AaABAg,2:21 he meant wank not work 🤣,6 minutes ago,@nickcartman,UCBQEKwcaefTdazj12cYHPRw,0,1741795301.925962
Ugxmh462nkmzrlIchYR4AaABAg,Trop droll la video😂🎉,11 minutes ago,@alexdu3506,UCx_WQ42EmxwSKJu0QhaKtrg,0,1741795001.927081
Ugzwc6jINUChZ0DIaqN4AaABAg,OH NOM YA PERSONNE IL UTILISE MERCI POUR LES TRAVAUX 18:10,24 minutes ago (edited),@Miro_1801Jean,UCiuqdRQN1XchJwWgpT6gjGg,0,1741794221.927909
UgxBr5yLzhh4jdv9tdB4AaABAg,Merci poki de faire du contenu avec un youtubeur français ❤️✅🥳🥳🥳,27 minutes ago,@josianeaka9606,UCKuQpu_pXgDIiqgAIgelz_A,0,1741794041.928742
UgwIuPahT4m5UAcGR214AaABAg,Ouiiiii pokimane habite en France,1 hour ago,@NathanTouchard,UCUeNbLl6NVg4ER3dS4jzJfg,1,1741792061.929412
UgzVpFOEzTycsm85hnp4AaABAg,🤣🤣,1 hour ago,@albatar7237,UCAzDHrDmBSqyO42cIYo9nMQ,0,1741792061.930035
UgxQ-VY521xDj65WtwZ4AaABAg,I think the house owner has to be Tamil bc like the white think it’s for the smell and the baby photo on the door was Krishna 😂,1 hour ago,@shanjaivasanthakumar3424,UCkhSYl_akmAs7LKPQZBaHnQ,0,1741792061.931089
UgyNl67famUDSna-XYB4AaABAg,This appartment is very p----graphique 😂😂,2 hours ago,@AntoineMangonot,UCe6FV8aofXpQmiWnsiL6REg,0,1741788461.93208
Ugz_99a8bFwaFJpcGmZ4AaABAg,"Son niveau en français, c est trop. On entend pas trop l’accent, cette énorme amélioration depuis ses débuts",2 hours ago,@azerphoenix8587,UCLud02BTw2wBiXUha8xI4MA,1,1741788461.93301
Ugw18VO2FqrW-lCBzvF4AaABAg,"Je ne comprends plus, ils sont ensembles ? xD",2 hours ago,@Varius.Gaming,UC0cyeWk7Y5OuoVblVHj8MIw,0,1741788461.934007
UgyFoqg52Ef-nL0trz14AaABAg,Si j'avais su qu'un jour on aurait Amine faire un apartment tour,3 hours ago,@Zazou465,UCMemjrZDe-_a-OuozKjdG5A,0,1741784861.934867
Ugzzx_H20Bvg_jZCrSl4AaABAg,Amine c'est trop un gateau 😊😊😅,3 hours ago,@Slayerman7on,UC3qSQsCpuZIVF5nbznKnIFQ,0,1741784861.935986
Ugx-zgvP9Kdj8HpTGdd4AaABAg,Cute together ngl...,3 hours ago,@naimreda-fathmi8645,UCqSBUYJREOTMxN99V4_sQ0A,0,1741784861.936936
UgwDnuY0S0bnJjDOvXF4AaABAg,7:11 y'aurait une nana pour expliquer pourquoi vous faites ça?,4 hours ago,@LQQF,UClydR-MafDhazfpOK5Z7cuw,0,1741781261.937905
UgyXvEgCAY-4z1WkDTV4AaABAg,Amine and Imane are the best comedic duo actually,7 hours ago,@jackl4wrence,UCL2ljX1JsUraoZJ-4ioHpdw,1,1741770461.940265
UgzqmFE7o6fUsgNzKRd4AaABAg,Cette pépite qui sort de nulle part 😭,7 hours ago,@Neitsab_tk,UCAF2gWT8fBZ_DHIUMFBeqfQ,0,1741770461.94096
UgycCcWuvSExgdn86IV4AaABAg,Le sel pour éviter l’humidité,7 hours ago,@timtamtom2767,UCnR4MGWd2N1igau89OAAzNQ,0,1741770461.94153
UgzYledFTsv1FkDlJXd4AaABAg,So les francais avait vraiment du charisme hein,8 hours ago,@nanachi6489,UCCg3aGWN7mkLKEiUjntKSOg,1,1741766861.942094
UgzWR97oKkkVv5uVxWt4AaABAg,Mais Amin parle pas anglais mdrr,9 hours ago,@josuevalify,UCpA1ji1NhPYXPl0jQZtDkOg,0,1741763261.942652
UgwDnuY0S0bnJjDOvXF4AaABAg.AFZkH38rigJAFZkjhzNKnG, @LQQF  faites quoi ?,4 hours ago,@neisse535,UC1QNA1p8Qs8fdGeSsjrBHRQ,0,1741781262.193112
