cid,text,time,author,channel,votes,time_parsed
UgzmHO2pF_H5Emkx5ON4AaABAg,That cat 3:55 😺😄,8 months ago,@ukin237,UCEkZ2gKXX-ORjht9zi_Gceg,0,1721252253.191508
UgxooKbtOuSUa5JQdkl4AaABAg,Can you talk about dHCI which claims to solve HCI drawbacks,8 months ago,@samselvaprabu,UChhbuMgk8qcMzRb4lQ-EhdA,0,1721252253.194079
Ugz6qbsIGVYgwYGZTiN4AaABAg,"Great video!!! I am looking for the cost-effectiveness, with respect to licensing, of HCI vs dHCI",8 months ago,@rogernelson5258,UCv8zi7B83TlFTGOo3TFWMEA,0,1721252253.195058
Ugzl-OIQBvMapLBN3nV4AaABAg,"Great video, and you explain so well! This helped a LOT!",8 months ago,@mkledits3679,UC9A5SqMVbL1AsjJGiAvzJnA,0,1721252253.195892
UgxmcuK6bbIbsWinkfh4AaABAg,"I heard Nutanix doesn't support/allow hardware after 5 years, is that true?",9 months ago,@joshuadelacruz3907,UCC1LYbCWTf6Y93qZqa2VMcQ,0,1718660253.196713
UgzPWGagBhT3AQTsvg94AaABAg,"I'm not a developer nor a network engineer, come from the business side, and this was clear as crystal. Great explanation. Also, I came here for explanation on hyperconverged, and low and behold, you also do converged! 👏👏👏",9 months ago,@betocarvalho2494,UCUL7_BI55CahoFBmO4XEWSg,0,1718660253.197685
UgwqE-txQG3QpzTXkhB4AaABAg,Good explanation.,9 months ago,@YannMetalhead,UCMjUTcy8q7KBpI9bbFFl2Ww,0,1718660253.19903
UgyB95k6dd3w55Blctd4AaABAg,Very good explanaton!! I want to hear more intrastucture knowledge from you!,10 months ago,@lukeleung2012,UCGnzEFxcWT5sz7qhV-6raew,0,1715981853.200006
UgxtL4GnBVab0jV0q6h4AaABAg,No idea yet on HCI. Comment for the algorithm/,11 months ago,@marquisstearn3253,UCldt0YXAyA2eTOtKH3E0w2Q,0,1713389853.200831
UgyznObermTq4bSVp2t4AaABAg,Thanks for the vid. Will retain our trad setup instead of switching to Nutanix.,11 months ago,@lordbry470,UCPhZegBw1myFmUMVYdWdO0g,0,1713389853.201621
UgzKHF7ikcFvZvf5RJ14AaABAg,Thank you for such a clearly explained video about this!,1 year ago,@Michaelluehr,UCXzLkhagWkKtzTp0awGunGA,0,1710711453.202229
UgxxZ7N9UAlBv9Q02TJ4AaABAg,"So amazing and informative.. however , for Gods sake, speak slowly, with tutorial,learning apead and accent. So everybody can catchup",1 year ago,@ashrafmuqbel5834,UC67It0jnqE1kLs2SwK-z4yw,0,1710711453.202797
UgzvzPWlTBQLAv81GhF4AaABAg,"Very well put explanations about HCI... I was really attracted by the bells and whistles of its easy to manage design but, the catch you've described is off-putting indeed.
In any case, as I am still curious, I will still look up to setup a certain software vendor's Community Edition in a lab environment to familiarize myself with it and see from there..",1 year ago,@FernandoDCDuarte,UCIQFhpovOBlxpcNoBdXQX8Q,0,1710711453.203377
UgwIPBxFfp6sA18K54t4AaABAg,"Still watching as this just popped into my recommendation list.
Popped by to say: My god man, use newer pictures.
DL380 G7, Cisco 3650? and is that an HP MSA 30 (That's a disk shelf, not even a proper Array).
I had a good laugh when I saw those.",1 year ago,@Casper042,UCJ1Ej2eVBlN-9TUejvPx7Jw,0,1710711453.203925
Ugx-u50mldpzI6OGyUV4AaABAg,"I’ve specialised in VMware, but this “hyper converged” infrastructure is truly doing my head in. Too complex.  And it’s kind of stupid. Like you said, if I just want to buy more storage, I don’t want the whole damn node - just disks where I can store my data. Sorry, not a fan.",1 year ago (edited),@BambiOnIce19,UCxhbXdCv3HeibCqyA9IGb2w,0,1710711453.20447
UgyMWcCRznWWmqBOx_t4AaABAg,"Very good, simple explanation taking into account the traditional infrastructure and how the solutions have evolved. Thanks 👍👍",1 year ago,@MuthukumarKB,UCAPPVGXz7JjIOEyp6AfesDQ,0,1710711453.205015
UgxYZof-ok8hoCo9fn54AaABAg,great explanation! thanks! :),1 year ago,@anantmishra6783,UCNybtDXjANaom8dB1KDdB0g,0,1710711453.205562
Ugxus_s2SfFeu8az_o94AaABAg,Thanks for the very detailed & visualized explanations! Been on Google for hours and this is the best clarification by far!,1 year ago,@theodorechan8836,UCvb74Xd0mtZLCvg__g89HDw,0,1710711453.206115
UgyRxOa8mHVCNLOmgnJ4AaABAg,8:01 what does HCI scalability and your momz have in common....,1 year ago (edited),@undivided_unified,UCRrzy4i0ezmMuvjTwgEZi0A,0,1710711453.206668
Ugzl-OIQBvMapLBN3nV4AaABAg.A54QG1XTfucA5MCpgaq0-4,Thanks!,8 months ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,1,1721252253.413057
UgzPWGagBhT3AQTsvg94AaABAg.A4ft9kb4k6lA4hiPoItCiP,Thanks! Glad it was helpful.,9 months ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1718660253.607012
UgwqE-txQG3QpzTXkhB4AaABAg.A4UJpO5mXx5A4WzlXIHsQr,Thanks!,9 months ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,1,1718660253.80438
UgyB95k6dd3w55Blctd4AaABAg.A2cHJFBHofLA2reidEWUPv,Thanks!,10 months ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,1,1715981853.987015
